x_speed,y_speed,speed,inbound_x_velocities,inbound_y_velocities,inbound_velocities,outbound_x_velocities,outbound_y_velocities,outbound_velocities,corrected_average_inbound_x_velocities ,corrected_average_inbound_y_velocities,corrected_average_inbound_velocities,corrected_average_outbound_x_velocities,corrected_average_outbound_y_velocities,corrected_average_outbound_velocities,contact_time,deformation
-12.029699978616389,0.0,4.009899992872129,,,,-16.039599971488517,0.0,16.039599971488517,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,5.670854953679543,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,0.0,,,,-8.019799985744259,-4.009899992872129,8.966408967038005,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,5.670854953679543,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,4.009899992872129,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,4.009899992872129,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,4.009899992872129,,,,-8.019799985744259,0.0,8.019799985744259,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,4.009899992872129,,,,-12.029699978616389,-4.009899992872129,12.68041716696888,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,5.670854953679543,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,-8.019799985744259,4.009899992872129,8.966408967038005,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,5.670854953679543,,,,-12.029699978616389,-4.009899992872129,12.68041716696888,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,5.670854953679543,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,4.009899992872129,,,,-8.019799985744259,0.0,8.019799985744259,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,-8.019799985744259,-4.009899992872129,8.966408967038005,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,-16.039599971488517,0.0,16.039599971488517,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,-8.019799985744259,0.0,8.019799985744259,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,5.670854953679543,,,,-16.039599971488517,0.0,16.039599971488517,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,-8.019799985744259,0.0,8.019799985744259,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,-12.029699978616389,-4.009899992872129,12.68041716696888,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,4.009899992872129,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,28.354274768397715,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,-8.019799985744259,0.0,8.019799985744259,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,-12.029699978616389,-4.009899992872129,12.68041716696888,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,-8.019799985744259,0.0,8.019799985744259,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,-8.019799985744259,0.0,8.019799985744259,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,-12.029699978616389,-4.009899992872129,12.68041716696888,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,-8.019799985744259,0.0,8.019799985744259,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,-12.029699978616389,-4.009899992872129,12.68041716696888,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,-12.029699978616389,0.0,12.029699978616389,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,-8.019799985744259,-4.009899992872129,8.966408967038005,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.039599971488517,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,4.009899992872129,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.039599971488517,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.533241218775295,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.039599971488517,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.533241218775295,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.039599971488517,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.039599971488517,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.533241218775295,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.533241218775295,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.039599971488517,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.533241218775295,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.039599971488517,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.029699978616389,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,12.68041716696888,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,16.533241218775295,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.966408967038005,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
-12.029699978616389,0.0,8.019799985744259,,,,,,,15.31052724551177,-1.7315477241947832,15.854510789203418,-11.200065497332503,-0.46090804515771605,11.461184942969961,0.0066,0.38815831931002215
